,ïid,time_spending,reasons_using,d_information,d_communication,d_new_friend,d_share,d_study,d_entainterment,number_friends,group_membership,siu_ingroup,informational_use,siu_1,siu_2,siu_3,entertainment_use,oep_1,political_efficacy,oep_2,oep_3,oep_4_data,oep_4,ofep_1,ofep_2,ofep_3,ofep_4,gender,age,barth_place,education,job,income,rural_urban_1,location,rural_urban_2,fav_party,SIU,three_usage,OEP,OFEP,supportNLD,supportUSDP,supportEthnicParty,supportOthersParty
231,233,More than 3 Hours,"1, 2, 4, 6",1,1,0,1,0,1,between 1000-3000 friends,"2, 3",2,4,3,1,4,5,5,1,3,3,1,1,1,0,0,0,1,21,5,0,4,2,3,5,1.0,1,0.52499998,0.77499998,0.61250001,0.25,1,0,0,0
232,234,More than 3 Hours,"1, 2, 5, 6",1,1,0,0,1,1,under 300 friends,"2, 3, 4",3,2,2,1,4,2,4,2,4,1,2,1,0,0,0,0,1,23,13,3,1,1,1,13,2.0,4,0.53750002,0.44583336,0.51249999,0.0,0,0,0,1
233,235,Between 1 Hour and 3 Hours,"1, 2, 6",1,1,0,0,0,1,between 1000-3000 friends,"1, 2, 3, 4",4,3,5,1,4,4,4,3,3,4,2,1,1,0,0,0,0,22,10,5,1,1,3,10,1.0,1,0.75,0.71666664,0.61250001,0.25,1,0,0,0
234,236,Between 1 Hour and 3 Hours,"1, 2, 5, 6",1,1,0,0,1,1,between 300-1000 friends,2,1,3,5,1,5,5,1,1,1,1,2,1,1,0,0,0,0,27,10,5,5,2,1,10,1.0,1,0.61250001,0.73750001,0.21250001,0.25,1,0,0,0
235,237,Less than 1 Hour,"1, 2, 5",1,1,0,0,1,0,under 300 friends,"2, 3",2,5,5,1,5,2,2,1,4,2,2,1,0,0,0,0,0,44,6,5,5,2,1,13,3.0,1,0.67500001,0.69166666,0.46250001,0.0,1,0,0,0
236,238,More than 3 Hours,"1, 2, 4, 5, 6",1,1,0,1,1,1,between 3000-5000 friends,"2, 3",2,5,5,3,4,4,5,4,4,3,2,1,1,1,1,0,0,22,5,4,1,1,3,1,1.0,1,0.72500002,0.8416667,0.66250002,0.75,1,0,0,0
237,239,Between 1 Hour and 3 Hours,1,1,0,0,0,0,0,between 300-1000 friends,2,1,2,2,1,5,1,1,2,4,4,1,1,0,0,0,0,0,45,10,5,5,2,3,8,2.0,1,0.46250001,0.35416666,0.51249999,0.0,1,0,0,0
238,240,More than 3 Hours,6,0,0,0,0,0,1,between 1000-3000 friends,2,1,4,5,1,4,5,5,1,3,1,2,1,0,0,0,0,0,24,10,4,3,2,1,10,1.0,1,0.5625,0.78750002,0.51249999,0.0,1,0,0,0
239,241,More than 3 Hours,"1, 2, 3, 4, 5, 6",1,1,1,1,1,1,between 300-1000 friends,"1, 2, 3, 4",4,5,4,4,5,4,4,4,4,3,2,1,1,0,0,0,0,37,13,5,5,2,3,5,1.0,1,0.89999998,0.89999998,0.61250001,0.25,1,0,0,0
240,242,Less than 1 Hour,"1, 4",1,0,0,1,0,0,under 300 friends,"1, 2, 3, 4",4,4,4,1,5,1,5,4,4,4,1,1,1,0,0,0,0,24,5,4,7,3,3,14,2.0,1,0.75,0.58333331,0.71249998,0.25,1,0,0,0
